case_id,terrain,difficulty_row,source_column,seed,command_bin,replicate,vx_m_s,vy_m_s,yaw_rad_s
99,smooth_slope,0,0,200000,low_speed,35,0,-0.25,-0.25
100,smooth_slope,0,1,200000,low_speed,36,0.25,0,0
101,smooth_slope,0,1,200000,low_speed,37,-0.25,0,0
102,smooth_slope,0,1,200000,low_speed,38,0,0.25,0.25
103,smooth_slope,0,1,200000,low_speed,39,0,-0.25,-0.25
104,smooth_slope,0,0,200000,low_speed,40,0.25,0,0
105,smooth_slope,0,0,200000,low_speed,41,-0.25,0,0
106,smooth_slope,0,0,200000,low_speed,42,0,0.25,0.25
107,smooth_slope,0,0,200000,low_speed,43,0,-0.25,-0.25
108,smooth_slope,0,1,200000,low_speed,44,0.25,0,0
109,smooth_slope,0,1,200000,low_speed,45,-0.25,0,0
110,smooth_slope,0,1,200000,low_speed,46,0,0.25,0.25
111,smooth_slope,0,1,200000,low_speed,47,0,-0.25,-0.25
112,smooth_slope,0,0,200000,low_speed,48,0.25,0,0
113,smooth_slope,0,0,200000,low_speed,49,-0.25,0,0
114,smooth_slope,0,0,200000,low_speed,50,0,0.25,0.25
115,smooth_slope,0,0,200000,low_speed,51,0,-0.25,-0.25
116,smooth_slope,0,1,200000,low_speed,52,0.25,0,0
117,smooth_slope,0,1,200000,low_speed,53,-0.25,0,0
118,smooth_slope,0,1,200000,low_speed,54,0,0.25,0.25
119,smooth_slope,0,1,200000,low_speed,55,0,-0.25,-0.25
120,smooth_slope,0,0,200000,low_speed,56,0.25,0,0
121,smooth_slope,0,0,200000,low_speed,57,-0.25,0,0
122,smooth_slope,0,0,200000,low_speed,58,0,0.25,0.25
123,smooth_slope,0,0,200000,low_speed,59,0,-0.25,-0.25
124,smooth_slope,0,1,200000,low_speed,60,0.25,0,0
125,smooth_slope,0,1,200000,low_speed,61,-0.25,0,0
126,smooth_slope,0,1,200000,low_speed,62,0,0.25,0.25
127,smooth_slope,0,1,200000,low_speed,63,0,-0.25,-0.25
128,smooth_slope,0,0,200000,normal_motion,0,0.75,0,0
129,smooth_slope,0,0,200000,normal_motion,1,-0.75,0,0
130,smooth_slope,0,0,200000,normal_motion,2,0,0.75,0.5
131,smooth_slope,0,0,200000,normal_motion,3,0,-0.75,-0.5
132,smooth_slope,0,1,200000,normal_motion,4,0.75,0,0
133,smooth_slope,0,1,200000,normal_motion,5,-0.75,0,0
134,smooth_slope,0,1,200000,normal_motion,6,0,0.75,0.5
135,smooth_slope,0,1,200000,normal_motion,7,0,-0.75,-0.5
136,smooth_slope,0,0,200000,normal_motion,8,0.75,0,0
137,smooth_slope,0,0,200000,normal_motion,9,-0.75,0,0
138,smooth_slope,0,0,200000,normal_motion,10,0,0.75,0.5
139,smooth_slope,0,0,200000,normal_motion,11,0,-0.75,-0.5
140,smooth_slope,0,1,200000,normal_motion,12,0.75,0,0
141,smooth_slope,0,1,200000,normal_motion,13,-0.75,0,0
142,smooth_slope,0,1,200000,normal_motion,14,0,0.75,0.5
143,smooth_slope,0,1,200000,normal_motion,15,0,-0.75,-0.5
144,smooth_slope,0,0,200000,normal_motion,16,0.75,0,0
145,smooth_slope,0,0,200000,normal_motion,17,-0.75,0,0
146,smooth_slope,0,0,200000,normal_motion,18,0,0.75,0.5
147,smooth_slope,0,0,200000,normal_motion,19,0,-0.75,-0.5
148,smooth_slope,0,1,200000,normal_motion,20,0.75,0,0
149,smooth_slope,0,1,200000,normal_motion,21,-0.75,0,0
150,smooth_slope,0,1,200000,normal_motion,22,0,0.75,0.5
151,smooth_slope,0,1,200000,normal_motion,23,0,-0.75,-0.5
152,smooth_slope,0,0,200000,normal_motion,24,0.75,0,0
153,smooth_slope,0,0,200000,normal_motion,25,-0.75,0,0
154,smooth_slope,0,0,200000,normal_motion,26,0,0.75,0.5
155,smooth_slope,0,0,200000,normal_motion,27,0,-0.75,-0.5
156,smooth_slope,0,1,200000,normal_motion,28,0.75,0,0
157,smooth_slope,0,1,200000,normal_motion,29,-0.75,0,0
158,smooth_slope,0,1,200000,normal_motion,30,0,0.75,0.5
159,smooth_slope,0,1,200000,normal_motion,31,0,-0.75,-0.5
160,smooth_slope,0,0,200000,normal_motion,32,0.75,0,0
161,smooth_slope,0,0,200000,normal_motion,33,-0.75,0,0
162,smooth_slope,0,0,200000,normal_motion,34,0,0.75,0.5
163,smooth_slope,0,0,200000,normal_motion,35,0,-0.75,-0.5
164,smooth_slope,0,1,200000,normal_motion,36,0.75,0,0
165,smooth_slope,0,1,200000,normal_motion,37,-0.75,0,0
166,smooth_slope,0,1,200000,normal_motion,38,0,0.75,0.5
167,smooth_slope,0,1,200000,normal_motion,39,0,-0.75,-0.5
168,smooth_slope,0,0,200000,normal_motion,40,0.75,0,0
169,smooth_slope,0,0,200000,normal_motion,41,-0.75,0,0
170,smooth_slope,0,0,200000,normal_motion,42,0,0.75,0.5
171,smooth_slope,0,0,200000,normal_motion,43,0,-0.75,-0.5
172,smooth_slope,0,1,200000,normal_motion,44,0.75,0,0
173,smooth_slope,0,1,200000,normal_motion,45,-0.75,0,0
174,smooth_slope,0,1,200000,normal_motion,46,0,0.75,0.5
175,smooth_slope,0,1,200000,normal_motion,47,0,-0.75,-0.5
176,smooth_slope,0,0,200000,normal_motion,48,0.75,0,0
177,smooth_slope,0,0,200000,normal_motion,49,-0.75,0,0
178,smooth_slope,0,0,200000,normal_motion,50,0,0.75,0.5
179,smooth_slope,0,0,200000,normal_motion,51,0,-0.75,-0.5
180,smooth_slope,0,1,200000,normal_motion,52,0.75,0,0
181,smooth_slope,0,1,200000,normal_motion,53,-0.75,0,0
182,smooth_slope,0,1,200000,normal_motion,54,0,0.75,0.5
183,smooth_slope,0,1,200000,normal_motion,55,0,-0.75,-0.5
184,smooth_slope,0,0,200000,normal_motion,56,0.75,0,0
185,smooth_slope,0,0,200000,normal_motion,57,-0.75,0,0
186,smooth_slope,0,0,200000,normal_motion,58,0,0.75,0.5
187,smooth_slope,0,0,200000,normal_motion,59,0,-0.75,-0.5
188,smooth_slope,0,1,200000,normal_motion,60,0.75,0,0
189,smooth_slope,0,1,200000,normal_motion,61,-0.75,0,0
190,smooth_slope,0,1,200000,normal_motion,62,0,0.75,0.5
191,smooth_slope,0,1,200000,normal_motion,63,0,-0.75,-0.5
192,smooth_slope,0,0,200001,standing,0,0,0,0
193,smooth_slope,0,1,200001,standing,1,0,0,0
194,smooth_slope,0,0,200001,standing,2,0,0,0
195,smooth_slope,0,1,200001,standing,3,0,0,0
196,smooth_slope,0,0,200001,standing,4,0,0,0
197,smooth_slope,0,1,200001,standing,5,0,0,0
198,smooth_slope,0,0,200001,standing,6,0,0,0
199,smooth_slope,0,1,200001,standing,7,0,0,0
200,smooth_slope,0,0,200001,standing,8,0,0,0
201,smooth_slope,0,1,200001,standing,9,0,0,0
202,smooth_slope,0,0,200001,standing,10,0,0,0
203,smooth_slope,0,1,200001,standing,11,0,0,0
204,smooth_slope,0,0,200001,standing,12,0,0,0
205,smooth_slope,0,1,200001,standing,13,0,0,0
206,smooth_slope,0,0,200001,standing,14,0,0,0
207,smooth_slope,0,1,200001,standing,15,0,0,0
208,smooth_slope,0,0,200001,standing,16,0,0,0
209,smooth_slope,0,1,200001,standing,17,0,0,0
210,smooth_slope,0,0,200001,standing,18,0,0,0
211,smooth_slope,0,1,200001,standing,19,0,0,0
212,smooth_slope,0,0,200001,standing,20,0,0,0
213,smooth_slope,0,1,200001,standing,21,0,0,0
214,smooth_slope,0,0,200001,standing,22,0,0,0
215,smooth_slope,0,1,200001,standing,23,0,0,0
216,smooth_slope,0,0,200001,standing,24,0,0,0
217,smooth_slope,0,1,200001,standing,25,0,0,0
218,smooth_slope,0,0,200001,standing,26,0,0,0
219,smooth_slope,0,1,200001,standing,27,0,0,0
220,smooth_slope,0,0,200001,standing,28,0,0,0
221,smooth_slope,0,1,200001,standing,29,0,0,0
222,smooth_slope,0,0,200001,standing,30,0,0,0
223,smooth_slope,0,1,200001,standing,31,0,0,0
224,smooth_slope,0,0,200001,standing,32,0,0,0
225,smooth_slope,0,1,200001,standing,33,0,0,0
226,smooth_slope,0,0,200001,standing,34,0,0,0
227,smooth_slope,0,1,200001,standing,35,0,0,0
228,smooth_slope,0,0,200001,standing,36,0,0,0
229,smooth_slope,0,1,200001,standing,37,0,0,0
230,smooth_slope,0,0,200001,standing,38,0,0,0
231,smooth_slope,0,1,200001,standing,39,0,0,0
232,smooth_slope,0,0,200001,standing,40,0,0,0
233,smooth_slope,0,1,200001,standing,41,0,0,0
234,smooth_slope,0,0,200001,standing,42,0,0,0
235,smooth_slope,0,1,200001,standing,43,0,0,0
236,smooth_slope,0,0,200001,standing,44,0,0,0
237,smooth_slope,0,1,200001,standing,45,0,0,0
238,smooth_slope,0,0,200001,standing,46,0,0,0
239,smooth_slope,0,1,200001,standing,47,0,0,0
240,smooth_slope,0,0,200001,standing,48,0,0,0
241,smooth_slope,0,1,200001,standing,49,0,0,0
242,smooth_slope,0,0,200001,standing,50,0,0,0
243,smooth_slope,0,1,200001,standing,51,0,0,0
244,smooth_slope,0,0,200001,standing,52,0,0,0
245,smooth_slope,0,1,200001,standing,53,0,0,0
246,smooth_slope,0,0,200001,standing,54,0,0,0
247,smooth_slope,0,1,200001,standing,55,0,0,0
248,smooth_slope,0,0,200001,standing,56,0,0,0
249,smooth_slope,0,1,200001,standing,57,0,0,0
250,smooth_slope,0,0,200001,standing,58,0,0,0
251,smooth_slope,0,1,200001,standing,59,0,0,0
252,smooth_slope,0,0,200001,standing,60,0,0,0
253,smooth_slope,0,1,200001,standing,61,0,0,0
254,smooth_slope,0,0,200001,standing,62,0,0,0
255,smooth_slope,0,1,200001,standing,63,0,0,0
256,smooth_slope,0,0,200001,low_speed,0,0.25,0,0
257,smooth_slope,0,0,200001,low_speed,1,-0.25,0,0
258,smooth_slope,0,0,200001,low_speed,2,0,0.25,0.25
259,smooth_slope,0,0,200001,low_speed,3,0,-0.25,-0.25
260,smooth_slope,0,1,200001,low_speed,4,0.25,0,0
261,smooth_slope,0,1,200001,low_speed,5,-0.25,0,0
262,smooth_slope,0,1,200001,low_speed,6,0,0.25,0.25
263,smooth_slope,0,1,200001,low_speed,7,0,-0.25,-0.25
264,smooth_slope,0,0,200001,low_speed,8,0.25,0,0
265,smooth_slope,0,0,200001,low_speed,9,-0.25,0,0
266,smooth_slope,0,0,200001,low_speed,10,0,0.25,0.25
267,smooth_slope,0,0,200001,low_speed,11,0,-0.25,-0.25
268,smooth_slope,0,1,200001,low_speed,12,0.25,0,0
269,smooth_slope,0,1,200001,low_speed,13,-0.25,0,0
270,smooth_slope,0,1,200001,low_speed,14,0,0.25,0.25
271,smooth_slope,0,1,200001,low_speed,15,0,-0.25,-0.25
272,smooth_slope,0,0,200001,low_speed,16,0.25,0,0
273,smooth_slope,0,0,200001,low_speed,17,-0.25,0,0
274,smooth_slope,0,0,200001,low_speed,18,0,0.25,0.25
275,smooth_slope,0,0,200001,low_speed,19,0,-0.25,-0.25
276,smooth_slope,0,1,200001,low_speed,20,0.25,0,0
277,smooth_slope,0,1,200001,low_speed,21,-0.25,0,0
278,smooth_slope,0,1,200001,low_speed,22,0,0.25,0.25
279,smooth_slope,0,1,200001,low_speed,23,0,-0.25,-0.25
280,smooth_slope,0,0,200001,low_speed,24,0.25,0,0
281,smooth_slope,0,0,200001,low_speed,25,-0.25,0,0
282,smooth_slope,0,0,200001,low_speed,26,0,0.25,0.25
283,smooth_slope,0,0,200001,low_speed,27,0,-0.25,-0.25
284,smooth_slope,0,1,200001,low_speed,28,0.25,0,0
285,smooth_slope,0,1,200001,low_speed,29,-0.25,0,0
286,smooth_slope,0,1,200001,low_speed,30,0,0.25,0.25
287,smooth_slope,0,1,200001,low_speed,31,0,-0.25,-0.25
288,smooth_slope,0,0,200001,low_speed,32,0.25,0,0
289,smooth_slope,0,0,200001,low_speed,33,-0.25,0,0
290,smooth_slope,0,0,200001,low_speed,34,0,0.25,0.25
291,smooth_slope,0,0,200001,low_speed,35,0,-0.25,-0.25
292,smooth_slope,0,1,200001,low_speed,36,0.25,0,0
293,smooth_slope,0,1,200001,low_speed,37,-0.25,0,0
294,smooth_slope,0,1,200001,low_speed,38,0,0.25,0.25
295,smooth_slope,0,1,200001,low_speed,39,0,-0.25,-0.25
296,smooth_slope,0,0,200001,low_speed,40,0.25,0,0
297,smooth_slope,0,0,200001,low_speed,41,-0.25,0,0
298,smooth_slope,0,0,200001,low_speed,42,0,0.25,0.25
299,smooth_slope,0,0,200001,low_speed,43,0,-0.25,-0.25
300,smooth_slope,0,1,200001,low_speed,44,0.25,0,0
301,smooth_slope,0,1,200001,low_speed,45,-0.25,0,0
302,smooth_slope,0,1,200001,low_speed,46,0,0.25,0.25
303,smooth_slope,0,1,200001,low_speed,47,0,-0.25,-0.25
304,smooth_slope,0,0,200001,low_speed,48,0.25,0,0
305,smooth_slope,0,0,200001,low_speed,49,-0.25,0,0
306,smooth_slope,0,0,200001,low_speed,50,0,0.25,0.25
307,smooth_slope,0,0,200001,low_speed,51,0,-0.25,-0.25
308,smooth_slope,0,1,200001,low_speed,52,0.25,0,0
309,smooth_slope,0,1,200001,low_speed,53,-0.25,0,0
310,smooth_slope,0,1,200001,low_speed,54,0,0.25,0.25
311,smooth_slope,0,1,200001,low_speed,55,0,-0.25,-0.25
312,smooth_slope,0,0,200001,low_speed,56,0.25,0,0
313,smooth_slope,0,0,200001,low_speed,57,-0.25,0,0
314,smooth_slope,0,0,200001,low_speed,58,0,0.25,0.25
315,smooth_slope,0,0,200001,low_speed,59,0,-0.25,-0.25
316,smooth_slope,0,1,200001,low_speed,60,0.25,0,0
317,smooth_slope,0,1,200001,low_speed,61,-0.25,0,0
318,smooth_slope,0,1,200001,low_speed,62,0,0.25,0.25
319,smooth_slope,0,1,200001,low_speed,63,0,-0.25,-0.25
320,smooth_slope,0,0,200001,normal_motion,0,0.75,0,0
321,smooth_slope,0,0,200001,normal_motion,1,-0.75,0,0
322,smooth_slope,0,0,200001,normal_motion,2,0,0.75,0.5
323,smooth_slope,0,0,200001,normal_motion,3,0,-0.75,-0.5
324,smooth_slope,0,1,200001,normal_motion,4,0.75,0,0
325,smooth_slope,0,1,200001,normal_motion,5,-0.75,0,0
326,smooth_slope,0,1,200001,normal_motion,6,0,0.75,0.5
327,smooth_slope,0,1,200001,normal_motion,7,0,-0.75,-0.5
328,smooth_slope,0,0,200001,normal_motion,8,0.75,0,0
329,smooth_slope,0,0,200001,normal_motion,9,-0.75,0,0
330,smooth_slope,0,0,200001,normal_motion,10,0,0.75,0.5
331,smooth_slope,0,0,200001,normal_motion,11,0,-0.75,-0.5
332,smooth_slope,0,1,200001,normal_motion,12,0.75,0,0
333,smooth_slope,0,1,200001,normal_motion,13,-0.75,0,0
334,smooth_slope,0,1,200001,normal_motion,14,0,0.75,0.5
335,smooth_slope,0,1,200001,normal_motion,15,0,-0.75,-0.5
336,smooth_slope,0,0,200001,normal_motion,16,0.75,0,0
337,smooth_slope,0,0,200001,normal_motion,17,-0.75,0,0
338,smooth_slope,0,0,200001,normal_motion,18,0,0.75,0.5
339,smooth_slope,0,0,200001,normal_motion,19,0,-0.75,-0.5
340,smooth_slope,0,1,200001,normal_motion,20,0.75,0,0
341,smooth_slope,0,1,200001,normal_motion,21,-0.75,0,0
342,smooth_slope,0,1,200001,normal_motion,22,0,0.75,0.5
343,smooth_slope,0,1,200001,normal_motion,23,0,-0.75,-0.5
344,smooth_slope,0,0,200001,normal_motion,24,0.75,0,0
345,smooth_slope,0,0,200001,normal_motion,25,-0.75,0,0
346,smooth_slope,0,0,200001,normal_motion,26,0,0.75,0.5
347,smooth_slope,0,0,200001,normal_motion,27,0,-0.75,-0.5
348,smooth_slope,0,1,200001,normal_motion,28,0.75,0,0
349,smooth_slope,0,1,200001,normal_motion,29,-0.75,0,0
350,smooth_slope,0,1,200001,normal_motion,30,0,0.75,0.5
351,smooth_slope,0,1,200001,normal_motion,31,0,-0.75,-0.5
352,smooth_slope,0,0,200001,normal_motion,32,0.75,0,0
353,smooth_slope,0,0,200001,normal_motion,33,-0.75,0,0
354,smooth_slope,0,0,200001,normal_motion,34,0,0.75,0.5
355,smooth_slope,0,0,200001,normal_motion,35,0,-0.75,-0.5
356,smooth_slope,0,1,200001,normal_motion,36,0.75,0,0
357,smooth_slope,0,1,200001,normal_motion,37,-0.75,0,0
358,smooth_slope,0,1,200001,normal_motion,38,0,0.75,0.5
359,smooth_slope,0,1,200001,normal_motion,39,0,-0.75,-0.5
360,smooth_slope,0,0,200001,normal_motion,40,0.75,0,0
361,smooth_slope,0,0,200001,normal_motion,41,-0.75,0,0
362,smooth_slope,0,0,200001,normal_motion,42,0,0.75,0.5
363,smooth_slope,0,0,200001,normal_motion,43,0,-0.75,-0.5
364,smooth_slope,0,1,200001,normal_motion,44,0.75,0,0
365,smooth_slope,0,1,200001,normal_motion,45,-0.75,0,0
366,smooth_slope,0,1,200001,normal_motion,46,0,0.75,0.5
367,smooth_slope,0,1,200001,normal_motion,47,0,-0.75,-0.5
368,smooth_slope,0,0,200001,normal_motion,48,0.75,0,0
369,smooth_slope,0,0,200001,normal_motion,49,-0.75,0,0
370,smooth_slope,0,0,200001,normal_motion,50,0,0.75,0.5
371,smooth_slope,0,0,200001,normal_motion,51,0,-0.75,-0.5
372,smooth_slope,0,1,200001,normal_motion,52,0.75,0,0
373,smooth_slope,0,1,200001,normal_motion,53,-0.75,0,0
374,smooth_slope,0,1,200001,normal_motion,54,0,0.75,0.5
375,smooth_slope,0,1,200001,normal_motion,55,0,-0.75,-0.5
376,smooth_slope,0,0,200001,normal_motion,56,0.75,0,0
377,smooth_slope,0,0,200001,normal_motion,57,-0.75,0,0
378,smooth_slope,0,0,200001,normal_motion,58,0,0.75,0.5
379,smooth_slope,0,0,200001,normal_motion,59,0,-0.75,-0.5
380,smooth_slope,0,1,200001,normal_motion,60,0.75,0,0
381,smooth_slope,0,1,200001,normal_motion,61,-0.75,0,0
382,smooth_slope,0,1,200001,normal_motion,62,0,0.75,0.5
383,smooth_slope,0,1,200001,normal_motion,63,0,-0.75,-0.5
384,smooth_slope,0,0,200002,standing,0,0,0,0
385,smooth_slope,0,1,200002,standing,1,0,0,0
386,smooth_slope,0,0,200002,standing,2,0,0,0
387,smooth_slope,0,1,200002,standing,3,0,0,0
388,smooth_slope,0,0,200002,standing,4,0,0,0
389,smooth_slope,0,1,200002,standing,5,0,0,0
390,smooth_slope,0,0,200002,standing,6,0,0,0
391,smooth_slope,0,1,200002,standing,7,0,0,0
392,smooth_slope,0,0,200002,standing,8,0,0,0
393,smooth_slope,0,1,200002,standing,9,0,0,0
394,smooth_slope,0,0,200002,standing,10,0,0,0
395,smooth_slope,0,1,200002,standing,11,0,0,0
396,smooth_slope,0,0,200002,standing,12,0,0,0
397,smooth_slope,0,1,200002,standing,13,0,0,0
398,smooth_slope,0,0,200002,standing,14,0,0,0
399,smooth_slope,0,1,200002,standing,15,0,0,0
400,smooth_slope,0,0,200002,standing,16,0,0,0
401,smooth_slope,0,1,200002,standing,17,0,0,0
402,smooth_slope,0,0,200002,standing,18,0,0,0
403,smooth_slope,0,1,200002,standing,19,0,0,0
404,smooth_slope,0,0,200002,standing,20,0,0,0
405,smooth_slope,0,1,200002,standing,21,0,0,0
406,smooth_slope,0,0,200002,standing,22,0,0,0
407,smooth_slope,0,1,200002,standing,23,0,0,0
408,smooth_slope,0,0,200002,standing,24,0,0,0
409,smooth_slope,0,1,200002,standing,25,0,0,0
410,smooth_slope,0,0,200002,standing,26,0,0,0
411,smooth_slope,0,1,200002,standing,27,0,0,0
412,smooth_slope,0,0,200002,standing,28,0,0,0
413,smooth_slope,0,1,200002,standing,29,0,0,0
414,smooth_slope,0,0,200002,standing,30,0,0,0
415,smooth_slope,0,1,200002,standing,31,0,0,0
416,smooth_slope,0,0,200002,standing,32,0,0,0
417,smooth_slope,0,1,200002,standing,33,0,0,0
418,smooth_slope,0,0,200002,standing,34,0,0,0
419,smooth_slope,0,1,200002,standing,35,0,0,0
420,smooth_slope,0,0,200002,standing,36,0,0,0
421,smooth_slope,0,1,200002,standing,37,0,0,0
422,smooth_slope,0,0,200002,standing,38,0,0,0
423,smooth_slope,0,1,200002,standing,39,0,0,0
424,smooth_slope,0,0,200002,standing,40,0,0,0
425,smooth_slope,0,1,200002,standing,41,0,0,0
426,smooth_slope,0,0,200002,standing,42,0,0,0
427,smooth_slope,0,1,200002,standing,43,0,0,0
428,smooth_slope,0,0,200002,standing,44,0,0,0
429,smooth_slope,0,1,200002,standing,45,0,0,0
430,smooth_slope,0,0,200002,standing,46,0,0,0
431,smooth_slope,0,1,200002,standing,47,0,0,0
432,smooth_slope,0,0,200002,standing,48,0,0,0
433,smooth_slope,0,1,200002,standing,49,0,0,0
434,smooth_slope,0,0,200002,standing,50,0,0,0
435,smooth_slope,0,1,200002,standing,51,0,0,0
436,smooth_slope,0,0,200002,standing,52,0,0,0
437,smooth_slope,0,1,200002,standing,53,0,0,0
438,smooth_slope,0,0,200002,standing,54,0,0,0
439,smooth_slope,0,1,200002,standing,55,0,0,0
440,smooth_slope,0,0,200002,standing,56,0,0,0
441,smooth_slope,0,1,200002,standing,57,0,0,0
442,smooth_slope,0,0,200002,standing,58,0,0,0
443,smooth_slope,0,1,200002,standing,59,0,0,0
444,smooth_slope,0,0,200002,standing,60,0,0,0
445,smooth_slope,0,1,200002,standing,61,0,0,0
446,smooth_slope,0,0,200002,standing,62,0,0,0
447,smooth_slope,0,1,200002,standing,63,0,0,0
448,smooth_slope,0,0,200002,low_speed,0,0.25,0,0
449,smooth_slope,0,0,200002,low_speed,1,-0.25,0,0
450,smooth_slope,0,0,200002,low_speed,2,0,0.25,0.25
451,smooth_slope,0,0,200002,low_speed,3,0,-0.25,-0.25
452,smooth_slope,0,1,200002,low_speed,4,0.25,0,0
453,smooth_slope,0,1,200002,low_speed,5,-0.25,0,0
